"MEMBER_ID"	"LOGIN_PASSWORD"	"REMINDER_QUESTION"	"REMINDER_ANSWER"	"REMINDER_USE_COUNT"	"REGISTER_DATETIME"	"REGISTER_USER"	"UPDATE_DATETIME"	"UPDATE_USER"	"VERSION_NO"
"1"	"4a69f19c8c264850d0f0fca1d7cd8ac0d07771cb9aaf5923c2c621a3e0f74475"	"30符3飜は？"	"自分で数えろ"	"0"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"0"
"2"	"4a69f19c8c264850d0f0fca1d7cd8ac0d07771cb9aaf5923c2c621a3e0f74475"	"50符2飜は？"	"自分で数えろ"	"2"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"0"
"3"	"4a69f19c8c264850d0f0fca1d7cd8ac0d07771cb9aaf5923c2c621a3e0f74475"	"110符2飜は？"	"自分で数えろ"	"3"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"0"
"4"	"4a69f19c8c264850d0f0fca1d7cd8ac0d07771cb9aaf5923c2c621a3e0f74475"	"タンヤオ？"	"そう"	"12"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"0"
"5"	"4a69f19c8c264850d0f0fca1d7cd8ac0d07771cb9aaf5923c2c621a3e0f74475"	"ピンフ？"	"そう"	"410"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"0"
"6"	"4a69f19c8c264850d0f0fca1d7cd8ac0d07771cb9aaf5923c2c621a3e0f74475"	"サンアンコウ？"	"そう"	"2"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"0"
"7"	"4a69f19c8c264850d0f0fca1d7cd8ac0d07771cb9aaf5923c2c621a3e0f74475"	"イーペーコウ？"	"そう"	"4"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"0"
"8"	"4a69f19c8c264850d0f0fca1d7cd8ac0d07771cb9aaf5923c2c621a3e0f74475"	"リャンペーコウ？"	"そう"	"9"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"0"
"9"	"4a69f19c8c264850d0f0fca1d7cd8ac0d07771cb9aaf5923c2c621a3e0f74475"	"サンペーコウはないよね？"	"当たり前だ"	"25"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"0"
"10"	"4a69f19c8c264850d0f0fca1d7cd8ac0d07771cb9aaf5923c2c621a3e0f74475"	"私はイカサマしません"	"実はする"	"8"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"2013-08-02 22:31:27.000"	"R:-2,ReplaceSchema"	"0"
